CapitalOri,CapitalFin,HX
Hermosillo,CiudaddeMexico,1925.44
Hermosillo,PuebladeZaragoza,2045.164
Hermosillo,Guadalajara,1382.788
Hermosillo,Monterrey,1744.326
Hermosillo,Chihuahua,908.886
Hermosillo,Merida,3226.927
Hermosillo,Saltillo,1659.634
Hermosillo,Aguascalientes,1569.211
Hermosillo,Hermosillo,0
Hermosillo,Mexicali,686.615
Hermosillo,SanLuisPotosi,1632.777
Hermosillo,CuliacanRosales,726.887
Hermosillo,SantiagodeQueretaro,1730.038
Hermosillo,Morelia,1668.968
Hermosillo,VictoriadeDurango,1160.155
Hermosillo,TuxtlaGutierrez,2747.79
Hermosillo,XalapaEnriquez,2183.688
Hermosillo,Tepic,1179.29
Hermosillo,Cuernavaca,1988.401
Hermosillo,Villahermosa,2664.351
Hermosillo,CiudadVictoria,1964.44
Hermosillo,PachucadeSoto,1937.389
Hermosillo,OaxacadeJuarez,2376.054
Hermosillo,LaPaz,2038
Hermosillo,SanFranciscodeCampeche,3047.811
Hermosillo,ChilpancingodelosBravo,2184.689
Hermosillo,TolucadeLerdo,1852.361
Hermosillo,Chetumal,3238.677
Hermosillo,Colima,1543.155
Hermosillo,Zacatecas,1446.132
Hermosillo,Guanajuato,1658.675
Hermosillo,TlaxcaladeXicohtencatl,2025.844
Mexicali,CiudaddeMexico,2596.288
Mexicali,PuebladeZaragoza,2716.012
Mexicali,Guadalajara,2053.636
Mexicali,Monterrey,2150.219
Mexicali,Chihuahua,1207.569
Mexicali,Merida,3897.775
Mexicali,Saltillo,1915.348
Mexicali,Aguascalientes,2142.777
Mexicali,Hermosillo,685.916
Mexicali,Mexicali,0
Mexicali,SanLuisPotosi,2206.343
Mexicali,CuliacanRosales,1397.735
Mexicali,SantiagodeQueretaro,2400.886
Mexicali,Morelia,2339.816
Mexicali,VictoriadeDurango,1831.003
Mexicali,TuxtlaGutierrez,3418.638
Mexicali,XalapaEnriquez,2854.536
Mexicali,Tepic,1850.138
Mexicali,Cuernavaca,2659.248
Mexicali,Villahermosa,3335.199
Mexicali,CiudadVictoria,2595.732
Mexicali,PachucadeSoto,2608.237
Mexicali,OaxacadeJuarez,3046.902
Mexicali,LaPaz,1344
Mexicali,SanFranciscodeCampeche,3718.659
Mexicali,ChilpancingodelosBravo,2855.537
Mexicali,TolucadeLerdo,2523.209
Mexicali,Chetumal,3909.525
Mexicali,Colima,2214.002
Mexicali,Zacatecas,2019.698
Mexicali,Guanajuato,2329.523
Mexicali,TlaxcaladeXicohtencatl,2696.692
SanLuisPotosi,CiudaddeMexico,411.249
SanLuisPotosi,PuebladeZaragoza,531.477
SanLuisPotosi,Guadalajara,328.735
SanLuisPotosi,Monterrey,517.096
SanLuisPotosi,Chihuahua,1055.851
SanLuisPotosi,Merida,1713.24
SanLuisPotosi,Saltillo,448.006
SanLuisPotosi,Aguascalientes,162.849
SanLuisPotosi,Hermosillo,1615.001
SanLuisPotosi,Mexicali,2206.802
SanLuisPotosi,SanLuisPotosi,0
SanLuisPotosi,CuliacanRosales,938.12
SanLuisPotosi,SantiagodeQueretaro,216.637
SanLuisPotosi,Morelia,334.977
SanLuisPotosi,VictoriadeDurango,479.539
SanLuisPotosi,TuxtlaGutierrez,1234.103
SanLuisPotosi,XalapaEnriquez,670.001
SanLuisPotosi,Tepic,532.837
SanLuisPotosi,Cuernavaca,498.538
SanLuisPotosi,Villahermosa,1150.664
SanLuisPotosi,CiudadVictoria,336.825
SanLuisPotosi,PachucadeSoto,423.702
SanLuisPotosi,OaxacadeJuarez,862.367
SanLuisPotosi,LaPaz,3554
SanLuisPotosi,SanFranciscodeCampeche,1534.124
SanLuisPotosi,ChilpancingodelosBravo,694.827
SanLuisPotosi,TolucadeLerdo,395.693
SanLuisPotosi,Chetumal,1724.99
SanLuisPotosi,Colima,518.078
SanLuisPotosi,Zacatecas,193.887
SanLuisPotosi,Guanajuato,199.35
SanLuisPotosi,TlaxcaladeXicohtencatl,512.157
CuliacanRosales,CiudaddeMexico,1230.306
CuliacanRosales,PuebladeZaragoza,1350.03
CuliacanRosales,Guadalajara,687.655
CuliacanRosales,Monterrey,1049.192
CuliacanRosales,Chihuahua,1126.263
CuliacanRosales,Merida,2531.794
CuliacanRosales,Saltillo,964.5
CuliacanRosales,Aguascalientes,874.077
CuliacanRosales,Hermosillo,698.262
CuliacanRosales,Mexicali,1388.799
CuliacanRosales,SanLuisPotosi,937.643
CuliacanRosales,CuliacanRosales,0
CuliacanRosales,SantiagodeQueretaro,1034.904
CuliacanRosales,Morelia,973.834
CuliacanRosales,VictoriadeDurango,465.022
CuliacanRosales,TuxtlaGutierrez,2052.657
CuliacanRosales,XalapaEnriquez,1488.554
CuliacanRosales,Tepic,484.156
CuliacanRosales,Cuernavaca,1293.267
CuliacanRosales,Villahermosa,1969.218
CuliacanRosales,CiudadVictoria,1269.307
CuliacanRosales,PachucadeSoto,1242.256
CuliacanRosales,OaxacadeJuarez,1680.92
CuliacanRosales,LaPaz,2718
CuliacanRosales,SanFranciscodeCampeche,2352.678
CuliacanRosales,ChilpancingodelosBravo,1489.556
CuliacanRosales,TolucadeLerdo,1157.228
CuliacanRosales,Chetumal,2543.544
CuliacanRosales,Colima,848.021
CuliacanRosales,Zacatecas,750.999
CuliacanRosales,Guanajuato,963.541
CuliacanRosales,TlaxcaladeXicohtencatl,1330.71
SantiagodeQueretaro,CiudaddeMexico,211.164
SantiagodeQueretaro,PuebladeZaragoza,331.392
SantiagodeQueretaro,Guadalajara,348.493
SantiagodeQueretaro,Monterrey,706.349
SantiagodeQueretaro,Chihuahua,1279.338
SantiagodeQueretaro,Merida,1513.155
SantiagodeQueretaro,Saltillo,637.259
SantiagodeQueretaro,Aguascalientes,285.406
SantiagodeQueretaro,Hermosillo,1707.39
SantiagodeQueretaro,Mexicali,2397.927
SantiagodeQueretaro,SanLuisPotosi,210.436
SantiagodeQueretaro,CuliacanRosales,1030.509
SantiagodeQueretaro,SantiagodeQueretaro,0
SantiagodeQueretaro,Morelia,190.326
SantiagodeQueretaro,VictoriadeDurango,703.026
SantiagodeQueretaro,TuxtlaGutierrez,1034.018
SantiagodeQueretaro,XalapaEnriquez,469.915
SantiagodeQueretaro,Tepic,552.595
SantiagodeQueretaro,Cuernavaca,298.453
SantiagodeQueretaro,Villahermosa,950.579
SantiagodeQueretaro,CiudadVictoria,526.079
SantiagodeQueretaro,PachucadeSoto,223.617
SantiagodeQueretaro,OaxacadeJuarez,662.281
SantiagodeQueretaro,LaPaz,3736
SantiagodeQueretaro,SanFranciscodeCampeche,1334.039
SantiagodeQueretaro,ChilpancingodelosBravo,494.741
SantiagodeQueretaro,TolucadeLerdo,195.607
SantiagodeQueretaro,Chetumal,1524.905
SantiagodeQueretaro,Colima,534.598
SantiagodeQueretaro,Zacatecas,417.71
SantiagodeQueretaro,Guanajuato,151.781
SantiagodeQueretaro,TlaxcaladeXicohtencatl,312.071
Morelia,CiudaddeMexico,305.664
Morelia,PuebladeZaragoza,425.388
Morelia,Guadalajara,287.798
Morelia,Monterrey,829.031
Morelia,Chihuahua,1306.765
Morelia,Merida,1607.151
Morelia,Saltillo,759.941
Morelia,Aguascalientes,312.833
Morelia,Hermosillo,1646.695
Morelia,Mexicali,2337.232
Morelia,SanLuisPotosi,333.118
Morelia,CuliacanRosales,969.814
Morelia,SantiagodeQueretaro,188.515
Morelia,Morelia,0
Morelia,VictoriadeDurango,730.453
Morelia,TuxtlaGutierrez,1128.014
Morelia,XalapaEnriquez,563.912
Morelia,Tepic,491.901
Morelia,Cuernavaca,368.624
Morelia,Villahermosa,1044.575
Morelia,CiudadVictoria,648.761
Morelia,PachucadeSoto,317.613
Morelia,OaxacadeJuarez,756.277
Morelia,LaPaz,3681
Morelia,SanFranciscodeCampeche,1428.035
Morelia,ChilpancingodelosBravo,564.913
Morelia,TolucadeLerdo,232.585
Morelia,Chetumal,1618.901
Morelia,Colima,473.903
Morelia,Zacatecas,445.136
Morelia,Guanajuato,179.208
Morelia,TlaxcaladeXicohtencatl,406.068
VictoriadeDurango,CiudaddeMexico,909.671
VictoriadeDurango,PuebladeZaragoza,1029.899
VictoriadeDurango,Guadalajara,640.448
VictoriadeDurango,Monterrey,589.491
VictoriadeDurango,Chihuahua,715.551
VictoriadeDurango,Merida,2211.663
VictoriadeDurango,Saltillo,504.799
VictoriadeDurango,Aguascalientes,414.295
VictoriadeDurango,Hermosillo,1141.21
VictoriadeDurango,Mexicali,1811.799
VictoriadeDurango,SanLuisPotosi,477.861
VictoriadeDurango,CuliacanRosales,464.329
VictoriadeDurango,SantiagodeQueretaro,706.158
VictoriadeDurango,Morelia,733.342
VictoriadeDurango,VictoriadeDurango,0
VictoriadeDurango,TuxtlaGutierrez,1732.525
VictoriadeDurango,XalapaEnriquez,1168.423
VictoriadeDurango,Tepic,472.726
VictoriadeDurango,Cuernavaca,996.96
VictoriadeDurango,Villahermosa,1649.087
VictoriadeDurango,CiudadVictoria,809.524
VictoriadeDurango,PachucadeSoto,922.124
VictoriadeDurango,OaxacadeJuarez,1360.789
VictoriadeDurango,LaPaz,3168
VictoriadeDurango,SanFranciscodeCampeche,2032.546
VictoriadeDurango,ChilpancingodelosBravo,1193.249
VictoriadeDurango,TolucadeLerdo,893.604
VictoriadeDurango,Chetumal,2223.413
VictoriadeDurango,Colima,829.791
VictoriadeDurango,Zacatecas,291.216
VictoriadeDurango,Guanajuato,602.07
VictoriadeDurango,TlaxcaladeXicohtencatl,1010.579
TuxtlaGutierrez,CiudaddeMexico,862.792
TuxtlaGutierrez,PuebladeZaragoza,723.925
TuxtlaGutierrez,Guadalajara,1376.687
TuxtlaGutierrez,Monterrey,1499.117
TuxtlaGutierrez,Chihuahua,2315.518
TuxtlaGutierrez,Merida,811.981
TuxtlaGutierrez,Saltillo,1577.293
TuxtlaGutierrez,Aguascalientes,1321.586
TuxtlaGutierrez,Hermosillo,2735.584
TuxtlaGutierrez,Mexicali,3426.121
TuxtlaGutierrez,SanLuisPotosi,1242.707
TuxtlaGutierrez,CuliacanRosales,2058.703
TuxtlaGutierrez,SantiagodeQueretaro,1043.064
TuxtlaGutierrez,Morelia,1132.43
TuxtlaGutierrez,VictoriadeDurango,1739.206
TuxtlaGutierrez,TuxtlaGutierrez,0
TuxtlaGutierrez,XalapaEnriquez,680.351
TuxtlaGutierrez,Tepic,1580.789
TuxtlaGutierrez,Cuernavaca,879.752
TuxtlaGutierrez,Villahermosa,249.405
TuxtlaGutierrez,CiudadVictoria,1224.957
TuxtlaGutierrez,PachucadeSoto,857.765
TuxtlaGutierrez,OaxacadeJuarez,567.924
TuxtlaGutierrez,LaPaz,4768
TuxtlaGutierrez,SanFranciscodeCampeche,632.865
TuxtlaGutierrez,ChilpancingodelosBravo,1012.162
TuxtlaGutierrez,TolucadeLerdo,903.439
TuxtlaGutierrez,Chetumal,823.731
TuxtlaGutierrez,Colima,1562.792
TuxtlaGutierrez,Zacatecas,1453.889
TuxtlaGutierrez,Guanajuato,1187.961
TuxtlaGutierrez,TlaxcaladeXicohtencatl,752.201
XalapaEnriquez,CiudaddeMexico,312.981
XalapaEnriquez,PuebladeZaragoza,180.173
XalapaEnriquez,Guadalajara,801.563
XalapaEnriquez,Monterrey,906.546
XalapaEnriquez,Chihuahua,1740.394
XalapaEnriquez,Merida,1151.463
XalapaEnriquez,Saltillo,1094.406
XalapaEnriquez,Aguascalientes,746.462
XalapaEnriquez,Hermosillo,2160.46
XalapaEnriquez,Mexicali,2850.997
XalapaEnriquez,SanLuisPotosi,667.583
XalapaEnriquez,CuliacanRosales,1483.579
XalapaEnriquez,SantiagodeQueretaro,467.94
XalapaEnriquez,Morelia,557.306
XalapaEnriquez,VictoriadeDurango,1164.082
XalapaEnriquez,TuxtlaGutierrez,672.326
XalapaEnriquez,XalapaEnriquez,0
XalapaEnriquez,Tepic,1005.665
XalapaEnriquez,Cuernavaca,336
XalapaEnriquez,Villahermosa,588.887
XalapaEnriquez,CiudadVictoria,632.386
XalapaEnriquez,PachucadeSoto,282.641
XalapaEnriquez,OaxacadeJuarez,430.294
XalapaEnriquez,LaPaz,4191
XalapaEnriquez,SanFranciscodeCampeche,972.347
XalapaEnriquez,ChilpancingodelosBravo,468.41
XalapaEnriquez,TolucadeLerdo,359.687
XalapaEnriquez,Chetumal,1163.213
XalapaEnriquez,Colima,987.668
XalapaEnriquez,Zacatecas,878.766
XalapaEnriquez,Guanajuato,612.837
XalapaEnriquez,TlaxcaladeXicohtencatl,180.736
Tepic,CiudaddeMexico,745.402
Tepic,PuebladeZaragoza,865.126
Tepic,Guadalajara,202.75
Tepic,Monterrey,1007.726
Tepic,Chihuahua,1131.363
Tepic,Merida,2046.889
Tepic,Saltillo,918.75
Tepic,Aguascalientes,421.954
Tepic,Hermosillo,1158.104
Tepic,Mexicali,1848.64
Tepic,SanLuisPotosi,529.81
Tepic,CuliacanRosales,481.222
Tepic,SantiagodeQueretaro,550
Tepic,Morelia,488.93
Tepic,VictoriadeDurango,470.121
Tepic,TuxtlaGutierrez,1567.752
Tepic,XalapaEnriquez,1003.65
Tepic,Tepic,0
Tepic,Cuernavaca,808.362
Tepic,Villahermosa,1484.313
Tepic,CiudadVictoria,868.341
Tepic,PachucadeSoto,757.351
Tepic,OaxacadeJuarez,1196.016
Tepic,LaPaz,3191
Tepic,SanFranciscodeCampeche,1867.773
Tepic,ChilpancingodelosBravo,1004.651
Tepic,TolucadeLerdo,672.323
Tepic,Chetumal,2058.639
Tepic,Colima,363.116
Tepic,Zacatecas,554.258
Tepic,Guanajuato,478.637
Tepic,TlaxcaladeXicohtencatl,845.806
Cuernavaca,CiudaddeMexico,108.076
Cuernavaca,PuebladeZaragoza,154.652
Cuernavaca,Guadalajara,609.666
Cuernavaca,Monterrey,993.795
Cuernavaca,Chihuahua,1570.693
Cuernavaca,Merida,1348.973
Cuernavaca,Saltillo,924.705
Cuernavaca,Aguascalientes,576.761
Cuernavaca,Hermosillo,1968.564
Cuernavaca,Mexicali,2659.1
Cuernavaca,SanLuisPotosi,497.883
Cuernavaca,CuliacanRosales,1291.682
Cuernavaca,SantiagodeQueretaro,298.24
Cuernavaca,Morelia,365.409
Cuernavaca,VictoriadeDurango,994.381
Cuernavaca,TuxtlaGutierrez,869.836
Cuernavaca,XalapaEnriquez,336.202
Cuernavaca,Tepic,813.769
Cuernavaca,Cuernavaca,0
Cuernavaca,Villahermosa,786.397
Cuernavaca,CiudadVictoria,813.525
Cuernavaca,PachucadeSoto,187.27
Cuernavaca,OaxacadeJuarez,498.1
Cuernavaca,LaPaz,4009
Cuernavaca,SanFranciscodeCampeche,1169.857
Cuernavaca,ChilpancingodelosBravo,192.38
Cuernavaca,TolucadeLerdo,136.225
Cuernavaca,Chetumal,1360.723
Cuernavaca,Colima,795.771
Cuernavaca,Zacatecas,709.065
Cuernavaca,Guanajuato,443.136
Cuernavaca,TlaxcaladeXicohtencatl,189.982
Villahermosa,CiudaddeMexico,779.426
Villahermosa,PuebladeZaragoza,640.56
Villahermosa,Guadalajara,1293.321
Villahermosa,Monterrey,1415.752
Villahermosa,Chihuahua,2232.153
Villahermosa,Merida,562.718
Villahermosa,Saltillo,1493.928
Villahermosa,Aguascalientes,1238.22
Villahermosa,Hermosillo,2652.219
Villahermosa,Mexicali,3342.755
Villahermosa,SanLuisPotosi,1159.342
Villahermosa,CuliacanRosales,1975.337
Villahermosa,SantiagodeQueretaro,959.699
Villahermosa,Morelia,1049.065
Villahermosa,VictoriadeDurango,1655.84
Villahermosa,TuxtlaGutierrez,250.077
Villahermosa,XalapaEnriquez,596.986
Villahermosa,Tepic,1497.424
Villahermosa,Cuernavaca,796.387
Villahermosa,Villahermosa,0
Villahermosa,CiudadVictoria,1141.592
Villahermosa,PachucadeSoto,774.4
Villahermosa,OaxacadeJuarez,809.042
Villahermosa,LaPaz,4690
Villahermosa,SanFranciscodeCampeche,383.602
Villahermosa,ChilpancingodelosBravo,928.797
Villahermosa,TolucadeLerdo,820.074
Villahermosa,Chetumal,575.829
Villahermosa,Colima,1479.426
Villahermosa,Zacatecas,1370.524
Villahermosa,Guanajuato,1104.596
Villahermosa,TlaxcaladeXicohtencatl,668.836
CiudadVictoria,CiudaddeMexico,677.902
CiudadVictoria,PuebladeZaragoza,686.178
CiudadVictoria,Guadalajara,664.852
CiudadVictoria,Monterrey,287.371
CiudadVictoria,Chihuahua,1118.324
CiudadVictoria,Merida,1696.09
CiudadVictoria,Saltillo,365.547
CiudadVictoria,Aguascalientes,498.966
CiudadVictoria,Hermosillo,1939.038
CiudadVictoria,Mexicali,2594.959
CiudadVictoria,SanLuisPotosi,334.241
CiudadVictoria,CuliacanRosales,1262.157
CiudadVictoria,SantiagodeQueretaro,530.204
CiudadVictoria,Morelia,648.544
CiudadVictoria,VictoriadeDurango,803.576
CiudadVictoria,TuxtlaGutierrez,1216.953
CiudadVictoria,XalapaEnriquez,634.175
CiudadVictoria,Tepic,868.954
CiudadVictoria,Cuernavaca,812.104
CiudadVictoria,Villahermosa,1133.514
CiudadVictoria,CiudadVictoria,0
CiudadVictoria,PachucadeSoto,613.644
CiudadVictoria,OaxacadeJuarez,1021.752
CiudadVictoria,LaPaz,3958
CiudadVictoria,SanFranciscodeCampeche,1516.974
CiudadVictoria,ChilpancingodelosBravo,1008.393
CiudadVictoria,TolucadeLerdo,709.259
CiudadVictoria,Chetumal,1707.84
CiudadVictoria,Colima,854.195
